Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Create A New Booking,2000,225,196,247,286,643,144,6164,"0,000%","2,22284","2,08","1,03"
1741144232820,194,Create A New Booking,200,OK,Create Booking 1-64,text,true,,956,475,1,1,https://restful-booker.herokuapp.com/booking,194,0,153
1741144233118,169,Create A New Booking,200,OK,Create Booking 1-65,text,true,,952,475,1,1,https://restful-booker.herokuapp.com/booking,169,0,126
1741144233419,201,Create A New Booking,200,OK,Create Booking 1-66,text,true,,952,475,1,1,https://restful-booker.herokuapp.com/booking,201,0,165
1741144233718,212,Create A New Booking,200,OK,Create Booking 1-67,text,true,,952,475,1,1,https://restful-booker.herokuapp.com/booking,212,0,157
1741144234019,168,Create A New Booking,200,OK,Create Booking 1-68,text,true,,952,475,1,1,https://restful-booker.herokuapp.com/booking,168,0,125
1741144234319,167,Create A New Booking,200,OK,Create Booking 1-69,text,true,,952,475,1,1,https://restful-booker.herokuapp.com/booking,167,0,130
1741144234620,167,Create A New Booking,200,OK,Create Booking 1-70,text,true,,952,475,1,1,https://restful-booker.herokuapp.com/booking,167,0,129
1741144234919,176,Create A New Booking,200,OK,Create Booking 1-71,text,true,,952,475,1,1,https://restful-booker.herokuapp.com/booking,176,0,131
1741144235220,167,Create A New Booking,200,OK,Create Booking 1-72,text,true,,956,475,1,1,https://restful-booker.herokuapp.com/booking,167,0,126
1741144235520,174,Create A New Booking,200,OK,Create Booking 1-73,text,true,,956,475,1,1,https://restful-booker.herokuapp.com/booking,174,0,134
1741144235820,196,Create A New Booking,200,OK,Create Booking 1-74,text,true,,956,475,1,1,https://restful-booker.herokuapp.com/booking,196,0,136
1741144236120,170,Create A New Booking,200,OK,Create Booking 1-75,text,true,,964,475,1,1,https://restful-booker.herokuapp.com/booking,170,0,131
1741144236420,251,Create A New Booking,200,OK,Create Booking 1-76,text,true,,964,475,1,1,https://restful-booker.herokuapp.com/booking,251,0,161
1741144236720,233,Create A New Booking,200,OK,Create Booking 1-77,text,true,,964,475,1,1,https://restful-booker.herokuapp.com/booking,233,0,168
1741144237020,210,Create A New Booking,200,OK,Create Booking 1-78,text,true,,956,475,1,1,https://restful-booker.herokuapp.com/booking,210,0,166
1741144237320,217,Create A New Booking,200,OK,Create Booking 1-79,text,true,,956,475,1,1,https://restful-booker.herokuapp.com/booking,217,0,146
1741144237620,219,Create A New Booking,200,OK,Create Booking 1-80,text,true,,956,475,1,1,https://restful-booker.herokuapp.com/booking,219,0,148
1741144237920,207,Create A New Booking,200,OK,Create Booking 1-81,text,true,,956,475,1,1,https://restful-booker.herokuapp.com/booking,207,0,149
1741144238220,210,Create A New Booking,200,OK,Create Booking 1-82,text,true,,952,475,1,1,https://restful-booker.herokuapp.com/booking,210,0,169
1741144238520,190,Create A New Booking,200,OK,Create Booking 1-83,text,true,,952,475,1,1,https://restful-booker.herokuapp.com/booking,190,0,144
1741144238820,235,Create A New Booking,200,OK,Create Booking 1-84,text,true,,952,475,1,1,https://restful-booker.herokuapp.com/booking,235,0,180
1741144239119,192,Create A New Booking,200,OK,Create Booking 1-85,text,true,,960,475,1,1,https://restful-booker.herokuapp.com/booking,192,0,148
1741144239420,192,Create A New Booking,200,OK,Create Booking 1-86,text,true,,960,475,1,1,https://restful-booker.herokuapp.com/booking,192,0,145
1741144239720,191,Create A New Booking,200,OK,Create Booking 1-87,text,true,,960,475,1,1,https://restful-booker.herokuapp.com/booking,191,0,152
1741144240019,178,Create A New Booking,200,OK,Create Booking 1-88,text,true,,960,475,1,1,https://restful-booker.herokuapp.com/booking,178,0,126
1741144240322,185,Create A New Booking,200,OK,Create Booking 1-89,text,true,,964,475,1,1,https://restful-booker.herokuapp.com/booking,185,0,132
1741144240621,194,Create A New Booking,200,OK,Create Booking 1-90,text,true,,964,475,1,1,https://restful-booker.herokuapp.com/booking,194,0,149
1741144240920,292,Create A New Booking,200,OK,Create Booking 1-91,text,true,,964,475,1,1,https://restful-booker.herokuapp.com/booking,292,0,228
1741144241221,192,Create A New Booking,200,OK,Create Booking 1-92,text,true,,972,475,1,1,https://restful-booker.herokuapp.com/booking,192,0,124
1741144241521,213,Create A New Booking,200,OK,Create Booking 1-93,text,true,,972,475,1,1,https://restful-booker.herokuapp.com/booking,213,0,174
1741144241821,208,Create A New Booking,200,OK,Create Booking 1-94,text,true,,972,475,1,1,https://restful-booker.herokuapp.com/booking,208,0,164
1741144242121,197,Create A New Booking,200,OK,Create Booking 1-95,text,true,,952,475,1,1,https://restful-booker.herokuapp.com/booking,197,0,129
1741144242420,200,Create A New Booking,200,OK,Create Booking 1-96,text,true,,952,475,1,1,https://restful-booker.herokuapp.com/booking,200,0,148
1741144242719,168,Create A New Booking,200,OK,Create Booking 1-97,text,true,,952,475,1,1,https://restful-booker.herokuapp.com/booking,168,0,126
1741144243018,178,Create A New Booking,200,OK,Create Booking 1-98,text,true,,952,475,1,1,https://restful-booker.herokuapp.com/booking,178,0,130
1741144243320,200,Create A New Booking,200,OK,Create Booking 1-99,text,true,,964,475,1,1,https://restful-booker.herokuapp.com/booking,200,0,148
1741144243621,196,Create A New Booking,200,OK,Create Booking 1-100,text,true,,964,475,1,1,https://restful-booker.herokuapp.com/booking,196,0,152
1741144243922,209,Create A New Booking,200,OK,Create Booking 1-101,text,true,,964,475,1,1,https://restful-booker.herokuapp.com/booking,209,0,164
1741144244220,197,Create A New Booking,200,OK,Create Booking 1-102,text,true,,956,475,1,1,https://restful-booker.herokuapp.com/booking,197,0,152
1741144244519,168,Create A New Booking,200,OK,Create Booking 1-103,text,true,,956,475,1,1,https://restful-booker.herokuapp.com/booking,168,0,114
1741144244820,195,Create A New Booking,200,OK,Create Booking 1-104,text,true,,956,475,1,1,https://restful-booker.herokuapp.com/booking,195,0,132
1741144245120,171,Create A New Booking,200,OK,Create Booking 1-105,text,true,,956,475,1,1,https://restful-booker.herokuapp.com/booking,171,0,128
1741144245420,215,Create A New Booking,200,OK,Create Booking 1-106,text,true,,956,475,1,1,https://restful-booker.herokuapp.com/booking,215,0,168
1741144245719,151,Create A New Booking,200,OK,Create Booking 1-107,text,true,,956,475,1,1,https://restful-booker.herokuapp.com/booking,151,0,112
1741144246020,193,Create A New Booking,200,OK,Create Booking 1-108,text,true,,956,475,1,1,https://restful-booker.herokuapp.com/booking,193,0,126
1741144246320,171,Create A New Booking,200,OK,Create Booking 1-109,text,true,,952,475,1,1,https://restful-booker.herokuapp.com/booking,171,0,130
1741144246620,215,Create A New Booking,200,OK,Create Booking 1-110,text,true,,952,475,1,1,https://restful-booker.herokuapp.com/booking,215,0,163
1741144246919,185,Create A New Booking,200,OK,Create Booking 1-111,text,true,,952,475,1,1,https://restful-booker.herokuapp.com/booking,185,0,136
1741144247219,221,Create A New Booking,200,OK,Create Booking 1-112,text,true,,956,475,1,1,https://restful-booker.herokuapp.com/booking,221,0,156
1741144247522,228,Create A New Booking,200,OK,Create Booking 1-113,text,true,,956,475,1,1,https://restful-booker.herokuapp.com/booking,228,0,187
1741144247820,192,Create A New Booking,200,OK,Create Booking 1-114,text,true,,956,475,1,1,https://restful-booker.herokuapp.com/booking,192,0,146
1741144248120,200,Create A New Booking,200,OK,Create Booking 1-115,text,true,,960,475,1,1,https://restful-booker.herokuapp.com/booking,200,0,151
1741144248420,170,Create A New Booking,200,OK,Create Booking 1-116,text,true,,960,475,1,1,https://restful-booker.herokuapp.com/booking,170,0,132
1741144248720,181,Create A New Booking,200,OK,Create Booking 1-117,text,true,,960,475,1,1,https://restful-booker.herokuapp.com/booking,181,0,145
1741144249019,184,Create A New Booking,200,OK,Create Booking 1-118,text,true,,960,475,1,1,https://restful-booker.herokuapp.com/booking,184,0,147
1741144249319,189,Create A New Booking,200,OK,Create Booking 1-119,text,true,,964,475,1,1,https://restful-booker.herokuapp.com/booking,189,0,136
1741144249619,192,Create A New Booking,200,OK,Create Booking 1-120,text,true,,964,475,1,1,https://restful-booker.herokuapp.com/booking,192,0,141
1741144249921,186,Create A New Booking,200,OK,Create Booking 1-121,text,true,,964,475,1,1,https://restful-booker.herokuapp.com/booking,186,0,145
1741144250221,206,Create A New Booking,200,OK,Create Booking 1-122,text,true,,956,475,1,1,https://restful-booker.herokuapp.com/booking,206,0,170
1741144250519,209,Create A New Booking,200,OK,Create Booking 1-123,text,true,,956,475,1,1,https://restful-booker.herokuapp.com/booking,209,0,156
1741144250821,230,Create A New Booking,200,OK,Create Booking 1-124,text,true,,956,475,1,1,https://restful-booker.herokuapp.com/booking,230,0,158
1741144251121,175,Create A New Booking,200,OK,Create Booking 1-125,text,true,,952,475,1,1,https://restful-booker.herokuapp.com/booking,175,0,138
1741144251421,183,Create A New Booking,200,OK,Create Booking 1-126,text,true,,952,475,1,1,https://restful-booker.herokuapp.com/booking,183,0,135
1741144251719,198,Create A New Booking,200,OK,Create Booking 1-127,text,true,,952,475,1,1,https://restful-booker.herokuapp.com/booking,198,0,145
1741144252020,211,Create A New Booking,200,OK,Create Booking 1-128,text,true,,956,475,1,1,https://restful-booker.herokuapp.com/booking,211,0,165
1741144252319,208,Create A New Booking,200,OK,Create Booking 1-129,text,true,,956,475,1,1,https://restful-booker.herokuapp.com/booking,208,0,165
1741144252619,227,Create A New Booking,200,OK,Create Booking 1-130,text,true,,956,475,1,1,https://restful-booker.herokuapp.com/booking,227,0,162
1741144252920,190,Create A New Booking,200,OK,Create Booking 1-131,text,true,,956,475,1,1,https://restful-booker.herokuapp.com/booking,190,0,146
1741144253219,195,Create A New Booking,200,OK,Create Booking 1-132,text,true,,960,475,1,1,https://restful-booker.herokuapp.com/booking,195,0,152
1741144253522,168,Create A New Booking,200,OK,Create Booking 1-133,text,true,,960,475,1,1,https://restful-booker.herokuapp.com/booking,168,0,123
1741144253820,206,Create A New Booking,200,OK,Create Booking 1-134,text,true,,960,475,1,1,https://restful-booker.herokuapp.com/booking,206,0,141
1741144254120,190,Create A New Booking,200,OK,Create Booking 1-135,text,true,,960,475,1,1,https://restful-booker.herokuapp.com/booking,190,0,145
1741144254421,186,Create A New Booking,200,OK,Create Booking 1-136,text,true,,960,475,1,1,https://restful-booker.herokuapp.com/booking,186,0,145
1741144254719,181,Create A New Booking,200,OK,Create Booking 1-137,text,true,,960,475,1,1,https://restful-booker.herokuapp.com/booking,181,0,130
1741144255019,188,Create A New Booking,200,OK,Create Booking 1-138,text,true,,960,475,1,1,https://restful-booker.herokuapp.com/booking,188,0,137
1741144255320,240,Create A New Booking,200,OK,Create Booking 1-139,text,true,,952,475,1,1,https://restful-booker.herokuapp.com/booking,240,0,191
1741144255620,231,Create A New Booking,200,OK,Create Booking 1-140,text,true,,952,475,1,1,https://restful-booker.herokuapp.com/booking,231,0,181
1741144255920,170,Create A New Booking,200,OK,Create Booking 1-141,text,true,,952,475,1,1,https://restful-booker.herokuapp.com/booking,170,0,125
